A;011;20011109 09:31;CDIXON;
B;011;292840;1;20011109 09:31;;;9;MACKENZIE ST;ABERDEEN;2336;760;M;20010514;20010626;105000;A;R;RESIDENCE;;AA;AC;;7766102;
C;011;292840;1;20011109 09:31;22//255878;
D;011;292840;1;20011109 09:31;P;;;;;;
D;011;292840;1;20011109 09:31;V;;;;;;
B;011;293106;2;20011109 09:31;;;109;ST ANDREWS ST;ABERDEEN;2336;800;M;20010607;20010629;125000;A;R;RESIDENCE;;AA;AC;;7745811;
C;011;293106;2;20011109 09:31;69//261048;
D;011;293106;2;20011109 09:31;P;;;;;;
D;011;293106;2;20011109 09:31;P;;;;;;
D;011;293106;2;20011109 09:31;V;;;;;;
B;011;293207;3;20011109 09:31;;;89;SEGENHOE ST;ABERDEEN;2336;742;M;20010507;20010622;88425;A;R;RESIDENCE;;AA;AC;;7774466;
C;011;293207;3;20011109 09:31;3//258926;
D;011;293207;3;20011109 09:31;P;;;;;;
D;011;293207;3;20011109 09:31;P;;;;;;
D;011;293207;3;20011109 09:31;V;;;;;;
D;011;293207;3;20011109 09:31;V;;;;;;
B;011;293956;4;20011109 09:31;;;59;HILL ST;SCONE;2337;1454;M;20010420;20010607;133700;A;R;RESIDENCE;;AW;AC;;7763924;
C;011;293956;4;20011109 09:31;1//712368;
D;011;293956;4;20011109 09:31;P;;;;;;
D;011;293956;4;20011109 09:31;P;;;;;;
D;011;293956;4;20011109 09:31;V;;;;;;
B;011;293973;5;20011109 09:31;;;9;HONEYSUCKLE CRES;SCONE;2337;900;M;20010515;20010615;172000;A;R;RESIDENCE;;AE;AC;;7735490;
C;011;293973;5;20011109 09:31;23//813932;
D;011;293973;5;20011109 09:31;P;;;;;;
D;011;293973;5;20011109 09:31;P;;;;;;
D;011;293973;5;20011109 09:31;V;;;;;;
D;011;293973;5;20011109 09:31;V;;;;;;
B;011;294075;6;20011109 09:31;;;95;KELLY ST;SCONE;2337;973.8;M;20010626;20010626;50000;B;3;SHOPS ;;BS;BS;;7727240;
C;011;294075;6;20011109 09:31;B//158596;
