A;008;20010822 12:46;CDIXON;
B;008;201836;1;20010822 12:46;;;71;ADDISON ST;BERESFIELD;2322;;;20010330;20010427;110000;A;R;;;DA;;;7626211;
C;008;201836;1;20010822 12:46;49/A/12628;
D;008;201836;1;20010822 12:46;P;;;;;;
D;008;201836;1;20010822 12:46;V;;;;;;
B;008;202251;2;20010822 12:46;;;47;ALDYTH ST;NEW LAMBTON;2305;737;M;20010327;20010427;174000;A;R;;;FG;;;7597591;
C;008;202251;2;20010822 12:46;191//569414;
D;008;202251;2;20010822 12:46;P;;;;;;
D;008;202251;2;20010822 12:46;P;;;;;;
D;008;202251;2;20010822 12:46;V;;;;;;
D;008;202251;2;20010822 12:46;V;;;;;;
B;008;202257;3;20010822 12:46;;;35;ALDYTH ST;NEW LAMBTON;2305;;;20010130;20010420;175000;A;R;;;FG;;;7598246;
C;008;202257;3;20010822 12:46;21//16502;
D;008;202257;3;20010822 12:46;P;;;;;;
D;008;202257;3;20010822 12:46;P;;;;;;
D;008;202257;3;20010822 12:46;V;;;;;;
B;008;202649;4;20010822 12:46;;;71;ALLENDALE ST;BERESFIELD;2322;607;M;20010411;20010516;113000;A;R;;;DA;;;7631572;
C;008;202649;4;20010822 12:46;171//31692;
D;008;202649;4;20010822 12:46;P;;;;;;
D;008;202649;4;20010822 12:46;V;;;;;;
B;008;202674;5;20010822 12:46;;;15;ALLENDALE ST;BERESFIELD;2322;;;20010329;20010329;0;A;3;NULL;;DA;;;7592791;
C;008;202674;5;20010822 12:46;62//29481;
D;008;202674;5;20010822 12:46;P;;;;;;
D;008;202674;5;20010822 12:46;P;;;;;;
D;008;202674;5;20010822 12:46;V;;;;;;
B;008;202865;6;20010822 12:46;;;100;ALNWICK RD;NORTH LAMBTON;2299;739.8;M;20010417;20010504;120000;A;R;;;JP;;;7603161;
C;008;202865;6;20010822 12:46;12//21077;
D;008;202865;6;20010822 12:46;P;;;;;;
D;008;202865;6;20010822 12:46;V;;;;;;
D;008;202865;6;20010822 12:46;V;;;;;;
B;008;202981;7;20010822 12:46;;;71;ANDERSON DR;TARRO;2322;644.9;M;20010324;20010324;0;A;3;NULL;;DA;;;7650363;
C;008;202981;7;20010822 12:46;2//38624;
D;008;202981;7;20010822 12:46;P;;;;;;
D;008;202981;7;20010822 12:46;V;;;;;;
D;008;202981;7;20010822 12:46;V;;;;;;
B;008;203064;8;20010822 12:46;;;258;ANDERSON DR;BERESFIELD;2322;765.1;M;20010313;20010412;97000;A;R;;;DA;;;7618354;
C;008;203064;8;20010822 12:46;12//39451;
D;008;203064;8;20010822 12:46;P;;;;;;
D;008;203064;8;20010822 12:46;P;;;;;;
D;008;203064;8;20010822 12:46;V;;;;;;
B;008;203409;9;20010822 12:46;;;14;ANDERTON ST;ISLINGTON;2296;;;20010323;20010504;104950;A;R;;;DE;;;7637219;
C;008;203409;9;20010822 12:46;1//798723;
D;008;203409;9;20010822 12:46;P;;;;;;
D;008;203409;9;20010822 12:46;V;;;;;;
D;008;203409;9;20010822 12:46;V;;;;;;
