A;004;20011109 13:29;CDIXON;
B;004;96041;1;20011109 13:29;;;12;ARCADIA ST;ARCADIA VALE;2283;695.6;M;20010814;20010914;145000;A;R;RESIDENCE;;ME;AC;;7958800;
C;004;96041;1;20011109 13:29;362//13129;
D;004;96041;1;20011109 13:29;P;;;;;;
D;004;96041;1;20011109 13:29;V;;;;;;
B;004;96318;2;20011109 13:29;;;15;BROOKS ST;ARCADIA VALE;2283;;;20010628;20010809;238000;A;R;RESIDENCE;;ME;AC;;7921989;
C;004;96318;2;20011109 13:29;599//13129;
D;004;96318;2;20011109 13:29;P;;;;;;
D;004;96318;2;20011109 13:29;P;;;;;;
D;004;96318;2;20011109 13:29;V;;;;;;
B;004;96346;3;20011109 13:29;;;58;MACQUARIE ST;ARCADIA VALE;2283;;;20010803;20010914;105000;A;R;RESIDENCE;;ME;AC;;7976894;
C;004;96346;3;20011109 13:29;522//13129;
D;004;96346;3;20011109 13:29;P;;;;;;
D;004;96346;3;20011109 13:29;V;;;;;;
B;004;96472;4;20011109 13:29;;;455;LAKE RD;ARGENTON;2284;499.5;M;20010702;20010904;133000;A;R;RESIDENCE;;CA;AC;;7941951;
C;004;96472;4;20011109 13:29;131//651369;
D;004;96472;4;20011109 13:29;P;;;;;;
D;004;96472;4;20011109 13:29;V;;;;;;
D;004;96472;4;20011109 13:29;V;;;;;;
B;004;96523;5;20011109 13:29;;;368;LAKE RD;ARGENTON;2284;;;20010302;20010323;100000;A;R;RESIDENCE;;CA;AC;;7515994;
C;004;96523;5;20011109 13:29;PT 45//12245;
D;004;96523;5;20011109 13:29;P;;;;;;
D;004;96523;5;20011109 13:29;P;;;;;;
D;004;96523;5;20011109 13:29;V;;;;;;
B;004;96602;6;20011109 13:29;;;6;MARGARET ST;ARGENTON;2284;;;20010906;20010906;88000;A;R;RESIDENCE;;CB;AC;;7957108;
C;004;96602;6;20011109 13:29;17/B/8993;
D;004;96602;6;20011109 13:29;P;;;;;;
D;004;96602;6;20011109 13:29;V;;;;;;
B;004;96669;7;20011109 13:29;;;128;MONTGOMERY ST;ARGENTON;2284;828.3;M;20010620;20010817;136000;A;3;;;CB;AC;;7927073;
C;004;96669;7;20011109 13:29;52//14329;
D;004;96669;7;20011109 13:29;P;;;;;;
D;004;96669;7;20011109 13:29;V;;;;;;
B;004;96783;8;20011109 13:29;;;24;PARK AVE;ARGENTON;2284;774;M;20010509;20010609;119000;A;R;RESIDENCE;;CB;AC;;7897666;
C;004;96783;8;20011109 13:29;71//12245;
D;004;96783;8;20011109 13:29;P;;;;;;
D;004;96783;8;20011109 13:29;V;;;;;;
D;004;96783;8;20011109 13:29;V;;;;;;
B;004;96827;9;20011109 13:29;;;9;QUEEN ST;ARGENTON;2284;626;M;20010726;20010726;45500;A;R;RESIDENCE;;CB;ACI;;7821091;
C;004;96827;9;20011109 13:29;9/I/8993;
D;004;96827;9;20011109 13:29;P;;;;;;
D;004;96827;9;20011109 13:29;P;;;;;;
D;004;96827;9;20011109 13:29;V;;;;;;
D;004;96827;9;20011109 13:29;V;;;;;;
B;004;97133;10;20011109 13:29;;;42;AVONDALE RD;COORANBONG;2265;1165;M;20010817;20010925;155000;A;R;RESIDENCE;;NJ;AC;;7979968;
C;004;97133;10;20011109 13:29;121//516024;
D;004;97133;10;20011109 13:29;P;;;;;;
D;004;97133;10;20011109 13:29;P;;;;;;
B;004;97159;11;20011109 13:29;;;14;BABERS RD;COORANBONG;2265;745.5;M;20010308;20010907;79950;A;V;VACANT LAND;;NJ;AV;;7936496;
C;004;97159;11;20011109 13:29;9//1014607;
D;004;97159;11;20011109 13:29;P;;;;;;
D;004;97159;11;20011109 13:29;P;;;;;;
D;004;97159;11;20011109 13:29;V;;;;;;
