A;010;20030619 08:55;PDANN;
B;010;262989;1;20030619 08:55;;;20 A;BELLMOUNT CL;ANNA BAY;2316;493;M;20030203;20030303;470000;A;R;RESIDENCE;;GF;AC;0;9451394;
C;010;262989;1;20030619 08:55;2//1013910;
D;010;262989;1;20030619 08:55;P;;;;;;
D;010;262989;1;20030619 08:55;V;;;;;;
D;010;262989;1;20030619 08:55;V;;;;;;
B;010;263011;2;20030619 08:55;;1;19;BENTHAM PL;ANNA BAY;2316;;;20030122;20030305;208000;;R;RESIDENCE;1;;XA;0;9464703;
C;010;263011;2;20030619 08:55;1//SP 22373;
D;010;263011;2;20030619 08:55;P;;;;;;
D;010;263011;2;20030619 08:55;P;;;;;;
D;010;263011;2;20030619 08:55;V;;;;;;
B;010;263354;3;20030619 08:55;;;95;ESSINGTON WAY;ANNA BAY;2316;1029;M;20020909;20021009;320000;A;R;RESIDENCE;;GF;AC;0;9473571;
C;010;263354;3;20030619 08:55;119//840387;
D;010;263354;3;20030619 08:55;P;;;;;;
D;010;263354;3;20030619 08:55;P;;;;;;
D;010;263354;3;20030619 08:55;V;;;;;;
D;010;263354;3;20030619 08:55;V;;;;;;
B;010;263708;4;20030619 08:55;;;128;MORNA POINT RD;ANNA BAY;2316;607;M;20030213;20030313;254000;A;R;RESIDENCE;;GC;AC;0;9457903;
C;010;263708;4;20030619 08:55;434//13134;
D;010;263708;4;20030619 08:55;P;;;;;;
D;010;263708;4;20030619 08:55;P;;;;;;
D;010;263708;4;20030619 08:55;V;;;;;;
B;010;264348;5;20030619 08:55;;;28;KINGSLEY DR;BOAT HARBOUR;2316;613.3;M;20030131;20030314;550000;A;R;RESIDENCE;;GA;AC;0;9456097;
C;010;264348;5;20030619 08:55;5/18/251247;
D;010;264348;5;20030619 08:55;P;;;;;;
D;010;264348;5;20030619 08:55;P;;;;;;
D;010;264348;5;20030619 08:55;V;;;;;;
B;010;264444;6;20030619 08:55;;;3;TOMAREE ST;BOAT HARBOUR;2316;657.6;M;20030125;20030307;556000;A;R;RESIDENCE;;GA;AC;0;9440928;
C;010;264444;6;20030619 08:55;3/2/244665;
D;010;264444;6;20030619 08:55;P;;;;;;
D;010;264444;6;20030619 08:55;P;;;;;;
D;010;264444;6;20030619 08:55;V;;;;;;
D;010;264444;6;20030619 08:55;V;;;;;;
